Vivado Simulator 2018.2
Time resolution is 1 ps
Time: 3055000 | rst: 0 | dout: 0 | count: 98 | ton: 50 | state: 10
Time: 3065000 | rst: 0 | dout: 0 | count: 99 | ton: 50 | state: 10
Time: 3075000 | rst: 0 | dout: 0 | count: 100 | ton: 50 | state: 10
Time: 3085000 | rst: 0 | dout: 0 | count: 100 | ton: 50 | state: 11
Time: 3095000 | rst: 0 | dout: 0 | count: 0 | ton: 0 | state: 00
Time: 3105000 | rst: 0 | dout: 1 | count: 1 | ton: 5 | state: 00
Time: 3115000 | rst: 0 | dout: 1 | count: 2 | ton: 10 | state: 00
Time: 3125000 | rst: 0 | dout: 1 | count: 3 | ton: 15 | state: 00
Time: 3135000 | rst: 0 | dout: 1 | count: 4 | ton: 20 | state: 00
Time: 3145000 | rst: 0 | dout: 1 | count: 5 | ton: 25 | state: 00
Time: 3155000 | rst: 0 | dout: 1 | count: 6 | ton: 30 | state: 00
Time: 3165000 | rst: 0 | dout: 1 | count: 7 | ton: 35 | state: 00
Time: 3175000 | rst: 0 | dout: 1 | count: 8 | ton: 40 | state: 00
Time: 3185000 | rst: 0 | dout: 1 | count: 9 | ton: 45 | state: 00
Time: 3195000 | rst: 0 | dout: 1 | count: 10 | ton: 50 | state: 00
Time: 3205000 | rst: 0 | dout: 1 | count: 10 | ton: 50 | state: 10
Time: 3215000 | rst: 0 | dout: 0 | count: 11 | ton: 50 | state: 10
Time: 3225000 | rst: 0 | dout: 0 | count: 12 | ton: 50 | state: 10
Time: 3235000 | rst: 0 | dout: 0 | count: 13 | ton: 50 | state: 10
Time: 3245000 | rst: 0 | dout: 0 | count: 14 | ton: 50 | state: 10
Time: 3255000 | rst: 0 | dout: 0 | count: 15 | ton: 50 | state: 10
Time: 3265000 | rst: 0 | dout: 0 | count: 16 | ton: 50 | state: 10
Time: 3275000 | rst: 0 | dout: 0 | count: 17 | ton: 50 | state: 10
Time: 3285000 | rst: 0 | dout: 0 | count: 18 | ton: 50 | state: 10
Time: 3295000 | rst: 0 | dout: 0 | count: 19 | ton: 50 | state: 10
Time: 3305000 | rst: 0 | dout: 0 | count: 20 | ton: 50 | state: 10
Time: 3315000 | rst: 0 | dout: 0 | count: 21 | ton: 50 | state: 10
Time: 3325000 | rst: 0 | dout: 0 | count: 22 | ton: 50 | state: 10
Time: 3335000 | rst: 0 | dout: 0 | count: 23 | ton: 50 | state: 10
Time: 3345000 | rst: 0 | dout: 0 | count: 24 | ton: 50 | state: 10
Time: 3355000 | rst: 0 | dout: 0 | count: 25 | ton: 50 | state: 10
Time: 3365000 | rst: 0 | dout: 0 | count: 26 | ton: 50 | state: 10
Time: 3375000 | rst: 0 | dout: 0 | count: 27 | ton: 50 | state: 10
Time: 3385000 | rst: 0 | dout: 0 | count: 28 | ton: 50 | state: 10
Time: 3395000 | rst: 0 | dout: 0 | count: 29 | ton: 50 | state: 10
